Eil.Nr.,Gatvės pavadinimas,Seniunija,Rajonas (vietovė),"Ilgis,m","Plotas, kv.m","Ilgis, m",Asfalto,Žvyro,Grunto,bet koks,,Namai
136,Sembų g.,Šilainių,Smėliai,257,1285,257,,,,257,,
137,Sietuvėlių g.,Šilainių,Sargėnai,,,,,,,,,
138,Skalvių g.,Šilainių,Smėliai,733,5703,733,,242,,431,,
139,Smiltynės g.,Šilainių,Sargėnai,350,1050,0,,,,,,
140,Stalupėnų g.,Šilainių,Smėliai,176,1504,176,176,,,,,
141,Stumbražolių takas,Šilainių,Sargėnai,994,1988,994,,,994,,,
142,Sūkurių g.,Šilainių,Smėliai,164,1473,164,164,,,,,
143,Svajos g.,Šilainių,Sargėnai,,,,,,,,,
,,,,,,,,,,,,
144,Šalčininkų g.,Šilainių,Linkuva,180,1080,180,,,180,,,
145,Šalnos g.,Šilainių,Smėliai,72,718,72,,72,,,,
146,Šarkuvos g.,Šilainių,Milikoniai,590,16800,590,590,,,,,
147,Šarmos g.,Šilainių,Sargėnai,,,,,,,,,
148,Šateikių g.,Šilainių,Smėliai,180,900,180,,,180,,,
149,Šeduvos g.,Šilainių,Sargėnai,415,5205,415,415,,,,,
150,Šerkšno g.,Šilainių,Sargėnai,,,,,,,,,
151,Šėtos g.,Šilainių,Smėliai,550,4800,540,50,,490,,,
152,Šilainių pl.,Šilainių,Romainiai Linkuva Smėliai,4734,94680,4734,3296,760,678,,,
153,Šilo g.,Šilainių,Linkuva,382,3222,382,,382,,,,
154,Šiltnamių g.,Šilainių,Smėliai,285,2280,285,285,,,,,
155,Šiluvos g.,Šilainių,Linkuva,170,850,170,,,,170,,
156,Širdažolių takas,Šilainių,Sargėnai,129,323,129,65,64,,,,
157,Šventupės g.,Šilainių,Romainiai,378,1512,378,,262,,,,
158,Tamsės g.,Šilainių,Romainiai,238,714,238,,238,,,,
159,Tauragės g.,Šilainių,Smėliai,183,1762,183,,,183,,,
160,Taurupės g.,Šilainių,Sargėnai,289,4431,289,167,122,,,,
161,Taurupio g.,Šilainių,Sargėnai,,,,,,,,,
162,Tekmės g.,Šilainių,Sargėnai,,,,,,,,,
163,Tiškevičių g.,Šilainių,Romainiai,196,784,196,,196,,,,
164,Tymo g.,Šilainių,Romainiai,500,1500,0,,,,,,
165,Tytuvėnų g.,Vilijampolės Šilainių,Vilijampolė Smėliai,431,4123,431,80,351,,,,nuo 16 iki 40
166,Tolivardžių g.,Šilainių,Romainiai,30,90,0,,,,,,
167,Tolminkiemio g.,Šilainių,Smėliai,404,2424,404,,,,404,,
168,Tryškių g.,Šilainių,Sargėnai,175,1628,175,,175,,,,
169,Tvenkinio g.,Šilainių,Smėliai,380,3040,380,380,,,,,
170,Tvėrių g.,Vilijampolės Šilainių,Panerys Milikoniai,365,1797,365,,,365,,,Nelyginiai9-23; Lyginiai 10-28
171,Ugnės g.,Šilainių,Linkuva,262,3930,262,,262,,,,
172,Uogynų g.,Šilainių,Sargėnai,313,5008,313,,313,,,,
173,Užliedžių g.,Šilainių,Romainiai,272,1511,272,,133,,139,,
174,Užnerio g.,Šilainių,Sargėnai,350,1050,0,,,,,,
175,Užuovėjos g.,Šilainių,Sargėnai,,,,,,,,,
176,V. Nagevičiaus g.,Šilainių,Romainiai,200,600,0,,,,,,
177,Vakarinis lankstas,Aleksoto Romainių Vilijampolės Šilainių,Marvelė Lampėdžiai Linkuva Veršvai Smėliai,3750,150800,3750,3750,,,,,
178,Valerijonų takas,Šilainių,Sargėnai,186,558,186,,186,,,,
179,Vandžiogalos g.,Šilainių,Sargėnai,2149,67582,2149,2149,,,,,
180,Versmės g.,Šilainių,Sargėnai,,,,,,,,,
181,Vėsos g.,Šilainių,Sargėnai,350,1050,0,,,,,,
182,Vėtrungės g.,Šilainių ,Milikoniai,550,6650,550,550,,,,,
183,Vėžaičių g.,Šilainių,Sargėnai,152,1464,152,152,,,,,
184,Viduklės g.,Šilainių,Milikoniai,458,2591,458,,458,,,,
185,Viesulo g.,Šilainių,Sargėnai,,,,,,,,,
186,Vieškeliuko g.,Šilainių,Romainiai,200,600,0,,,,,,
187,Vijūkų g.,Šilainių,Romainiai Linkuva,3587,24239,3587,,155,,3432,,
188,Vynuogių g.,Šilainių,Sargėnai,400,1200,0,,,,,,
189,Vytelių g.,Šilainių,Sargėnai,200,600,0,,,,,,
190,Vytėnų g.,Šilainių,Sargėnai,475,9068,475,475,,,,,
191,Zundų takas,Šilainių,Sargėnai,298,894,298,46,252,,,,
192,Žagarvyšnių takas,Šilainių,Sargėnai,131,393,131,,131,,,,
193,Žaibo g.,Šilainių,Smėliai,894,9292,884,834,,50,,,
194,Žalčialunkių takas,Šilainių,Sargėnai,144,557,144,,125,19,,,
195,Žalčio Karūnos al.,Šilainių,Linkuva,164,4592,164,,164,,,,
196,Žaliabalnės g.,Šilainių,Romainiai,262,930,262,232,30,,,,
197,Žaros g.,Šilainių,Sargėnai,,,,,,,,,
198,Žemaičių pl.,Šilainių,Smėliai Milikoniai,3484,112730,3484,3484,,,,,
199,Žemalės g.,Šilainių,Milikoniai,316,1487,316,,,316,,,
200,Žemynos g.,Šilainių,Linkuva,124,1860,124,,124,,,,
201,Žibintų g.,Šilainių,Romainiai,199,846,199,,199,,,,
202,Žiburių g.,Šilainių,Sargėnai,986,11617,986,986,,,,,
203,Žiemgalių g.,Šilainių,Smėliai,680,20400,680,680,,,,,
204,Žygaičių g.,Šilainių,Sargėnai,349,3946,349,349,,,,,
,Važiuojamosios ,dalies,,112031,,102009,55458,,,,,
,,,,m,,m,m,,,,,
